rg,cpf
19a57769.120,b402eb32.ae66.
c2eba190.d99,180a0b1c.eeed.
07892b93.754,2b0b12d3.17bc.
b2990daa.0ec,ba0097c5.2ea3.
2f1fd574.806,8066d1eb.7681.
3d2cd0c3.cb7,dbf674e2.cb92.
7b8fab50.577,accb91fd.e5fe.
a70e3530.4ed,c63696d4.2f0f.
c90bf54b.38d,628878d3.21d3.
beec0598.837,664b46d7.52ad.
9cc87cc2.cfd,3f21359c.da5a.
370857f8.635,e3d92908.376a.
69484450.5d0,e582d0fe.9ce6.
3ca82615.0bf,43702b65.5e02.
56ab731b.76c,9a750b33.b5a6.
3d63439a.cb2,c9354c6f.f9bf.
da35dd03.bd8,6522f05b.0403.
13682e9b.9fe,1642b8fe.ff1d.
85bcbbb8.58e,69a86da4.53ff.
0bd42c1a.3b6,faa49da5.ff67.
8da9f3bb.b56,194ba9cb.6596.
5f4eb89d.288,68c9b98e.2b1f.
110d8e4e.e31,2dcae9f1.3b33.
6e454e6d.d0f,9c7bfabe.22c9.
a39efb1a.abe,f72cd51f.e7b5.
98bc3301.28f,60645a49.1b58.
fdb022d9.45c,b27124aa.ed8a.
74541e6d.af4,fcf2193a.dda3.
7bd81e63.23c,e601b422.7473.
fc5d2fbd.625,f51dbfd0.af26.
27c39b60.ed2,b081f4da.48b3.
08b34f19.a0f,638bebf8.4636.
cb7ca945.09d,4c07309b.f3a6.
b3d3b16e.aba,ba6b32cf.c851.
204f80fb.8e0,9e99d666.e0ed.
dc2f8c22.572,8e93f028.655a.
9659474d.2cf,a8f5d42c.f3d2.
92bcca9d.7f7,1d3541fa.ea81.
02843fa5.c84,cec1502f.18cb.
8e46348c.208,f6aaef4c.5283.
c852b393.6f0,3f0e200d.c520.
3d804c61.276,9729c0af.17f7.
47372d3f.3ad,91a7609d.b112.
98d8ec72.b97,42000ef5.dc99.
240ecb38.ca5,94fe1da1.2e91.
11ff65e3.ed3,88192b92.b7d9.
42f3e861.961,fe3f1e53.068b.
41da6541.545,a4ff3150.567b.
b3813062.dc4,043f7209.329f.
5093062f.595,2cf6911c.8534.
5760aee4.ad5,15492918.de50.
33aa490e.eb0,0d111183.613d.
5c9710c6.85f,31aa53d2.1875.
ea5b2924.443,169b06ab.afb9.
0dcffbad.5cb,7497af87.3b2f.
0e5608b5.0d1,a9eb9781.a811.
435ad695.9fb,9d79c8c3.8395.
d8eaf702.cf0,4c647b75.6450.
624a2ad7.d89,94153fa9.3f06.
4e09913c.b8d,3dadca13.f851.
52a7cf18.caa,1d21382d.3b1b.
d92dfc17.b9a,ad1ef66b.9ed1.
2a5be43c.165,9e705557.1513.
a4816f9c.146,afb021f6.5379.
49ec9a43.abd,a22098ae.c3bb.
d7944c73.c0c,b305c7bd.6205.
f4327cea.826,b3286457.10a7.
8d4bf8ce.e95,6dc11e98.44fd.
0f5090d8.8f4,cd40ea6b.55ab.
81b5d774.85b,a24c7a7b.d94a.
0976f103.c24,b02293fd.5350.
6c731f4e.409,0ee0f040.1bcd.
d3cd52d3.177,2927a33e.ac1e.
9dfd54f9.85c,eb8c689b.24ee.
461ac773.a36,4f95e53d.7759.
7319654d.f4d,9c69cb84.3408.
67224f17.75f,0f82daea.0ef9.
0c6bdb06.4eb,9d222b0b.40bb.
be2fb539.a6f,9a7004ed.3802.
113b4370.a5b,1780a60e.89fe.
a7c8233c.774,30ba47f6.079a.
3b4e8839.09b,68a6ad80.3b50.
9f3ba550.110,097ed58a.d145.
8e8513da.650,5712a3ed.f817.
718eabec.ffa,dac778a9.b760.
6b3b6f41.5b2,922fc306.e920.
892cd02d.b6b,61c4612c.addc.
d28dd306.5f8,fa464f48.49a5.
893ee49f.53b,c64224ab.9bd7.
f92a8b0d.43d,d56999b4.8b19.
ca268644.80a,358f6df5.5da8.
af5b4691.e27,17765217.86ae.
899524f6.156,64fb2c34.8cbb.
9be9341e.9a3,552d1fba.4648.
9c1ff78b.29d,8e4b3a7a.2686.
637a20dd.fd8,75792b17.b27e.
4791ee49.fed,7c9ce7c1.fc64.
12929032.3ff,f6762c10.299a.
9690eb58.0b9,f797f299.a807.
3ec4fdd1.b5a,8124bf3b.41f4.
d077ac80.ba8,7630ba59.0244.
f45d12a6.63e,cb13f9ea.c2bb.
3c29dc76.533,c5e8d59c.ef79.
4bd6d8f8.9f6,5f626720.107d.
32e9f22f.0e8,5bb80008.d556.
4a88c481.de0,6a6a0448.3aad.
81bf4bcf.4f3,2127bbbf.4fac.
84e17eab.2ea,51c44fc6.e020.
95a40917.654,b2757675.1d75.
5863be1b.4c9,e39c88bd.8a4f.
d2805aea.6c0,c429197b.6c31.
b56e123b.142,b0b5749b.530d.
84501f1b.7d8,64eff0c2.c6ed.
02587ecd.d1f,61e9c0e3.bda7.
c651adcc.aaa,94312c39.6a90.
f90d0a6d.39a,16c74f06.b22f.
ffddc468.0e5,20aeb6db.43ea.
6656af45.960,0d8495a8.fb35.
4fc3c0c3.643,e789bdbc.fb5d.
d7172e7f.0c8,535a9a88.bf4d.
c4a0bc33.d66,27bf1dfc.8eee.
288eda2b.4df,06f0144e.1edc.
b2d222c4.fd3,7da0e873.f398.
e5cc12ff.202,d086ce71.4367.
5b4d559e.0bd,ca02751f.0f9f.
0e96d282.813,bda1391a.aa10.
3d7439af.d43,ddfe107e.8992.
a4b4c699.af6,1482ba18.e414.
7380e32e.dce,35eb05c4.6471.
1ad7733a.cda,6fea1456.5bed.
da8fa04e.456,e535b47b.26b0.
b7845153.7f3,bd2e89ab.7cfc.
2b0c2f27.77a,565fa27e.e973.
af2bd5a9.9d6,a0955450.b2da.
67d564fa.7f7,0398e307.8804.
c84cd14f.cbd,71a95d5a.f44a.
f06de5f8.715,930ffa14.2e40.
09ffe5f8.f90,ab62b82e.2bdb.
528be5f4.202,58daa045.c4e2.
528671da.873,3e326bc2.1265.
d2e6ab5c.b42,8ad83ae5.f8b9.
5ab4d2fa.ef3,20264931.c73c.
a9c5cdda.859,b3c3c96e.476e.
6866b12f.5c2,4f541965.97cc.
d23ccc0a.7e5,89ed0c91.b06a.
72e7f108.006,9357ac22.b6e4.
ad554f79.533,d18f4951.4820.
c911ec7a.4ef,dbf15ede.d5ec.
07cde01d.85d,2c93f041.3fa7.
a91cb2d2.3a8,01211af6.2f9c.
c699072c.447,a00b576e.e04b.
590e570a.ffd,9265e36c.a263.
bbdd241a.515,0a0cca7c.fbcb.
f0224163.6c2,002695e7.5708.
eca6c4ec.1dc,7aba1e92.d3db.
3e685504.d3e,70ae70cd.6959.
c2a6c94f.34b,08b8cf57.6254.
17cc8d22.f5c,90e1f1e3.f093.
130ce6aa.2e9,0d2d6d68.dff1.
644255c9.8e3,517ef9e5.4c02.
9379a58d.f5d,7d0f62ee.6c83.
e595d244.b75,9bab75f3.a86c.
af73b815.2ac,312dee9c.d130.
05715851.3cd,5abcd7e2.96af.
b06879de.939,99789537.f8cd.
a6ee9879.7ec,a43e70ca.3580.
8990a33d.0ac,a366844d.a103.
572e7827.2c2,18e8f27b.bd97.
8fa65043.5e5,8d7ef185.2c52.
9aa874ec.a73,001bede7.395f.
81faca0f.b7a,620d0750.daf2.
517b14b4.80e,dc6e8748.9ad3.
8cb553b6.6d0,c726317b.2163.
44fafc1d.568,dc47ab5e.3b37.
e93f8af7.420,7579c476.000b.
c8b3ca49.49a,ec446b0b.b885.
9f29d65f.ffe,61d77b73.46f3.
780ee305.667,a441c5df.a095.
22bbdb89.c5e,0bc84dd6.f216.
e6b8724f.3f3,785e002a.f1ee.
fec6b7f7.181,4e4f50e7.fef3.
6f72ea3d.b5b,8344d6a0.ec29.
c605c0b0.662,2d09d575.adf8.
f54d7ce4.9d9,fcaa5cee.7b33.
e50c86d2.289,adef2362.1d19.
17f2bbdc.d6f,ede0cdef.2c59.
371bc225.924,a1e52a0d.82e1.
c6b8b527.d6c,e45318d7.5db7.
037870ad.226,4291ddce.e9f2.
806bc9a3.c52,20b0bfd2.fd20.
a887d484.154,18add216.fab7.
59afc76f.cb1,af35b9b4.8b23.
1a54552b.cce,9448483b.b9c3.
9bb63532.17c,a37bff8a.38fd.
8c80687d.97c,62669a1c.b43d.
e960aa22.573,5ff5e389.655f.
b95908b6.b0b,a8a80d8d.915a.
66a81b24.926,2eaf748d.5abc.
f400716b.c7c,86ee6f85.12b8.
b5f4990e.a2b,a59f2f79.4363.
af65b5d8.ed3,b25c9579.397d.
64dfa2d7.fd8,e54603a4.30ff.
d255af51.fde,425ab7b7.6e07.
accf36a3.cb0,c47e3440.2390.
d2c3ad0d.9e9,75505fe0.79a9.
4a1462e8.2a9,cb94edaf.7116.
83d295e5.c4a,ac77207f.f58b.
b5296cec.505,d8cc67df.7ba4.
02010484.b1d,5ab6d8e0.1f1d.
6cb15e57.23c,8ab9d319.2a61.
5b2281ef.fd2,1e3d30a5.6195.
056bc06b.b5e,ae02e837.64cb.
3b1322c6.92a,c32c8ba0.3154.
5027ebe0.2fd,6ef2ddd3.a229.
3d8bc26c.3f0,2911cdb2.ee3b.
853c2312.8e3,7724775a.17dd.
9f95a208.71a,ccd1b9e4.6884.
0414ce3b.a70,4b420355.3418.
1a22fc48.5c1,9d73fb84.ecbc.
10fb05ea.8e2,d71167d9.d988.
0c911fb5.aea,7d8a50f3.0903.
7373ad03.a8d,ac4faf35.c52a.
3ee5c4a8.251,03aa49c1.7dea.
5c5ef8c3.c76,fb7161e3.089a.
c9a14947.d5c,1b216923.b852.
a3386cfa.f5c,f86357d7.5717.
e161bffc.e5c,b08de156.5f28.
d357f92e.25f,8b264b63.2375.
a5f8e405.feb,7d03d168.8b01.
6969a9af.ec6,470656e2.99b8.
a9232f2a.13d,56c85b0c.e028.
f3b211e8.70d,514cb130.a97b.
f8323352.a6d,1296e2a5.c595.
cf23bfa9.b34,c01e5636.ad55.
0f60e28d.e51,856c0073.77a7.
83387fa5.866,bb6b800e.37fb.
76b38791.2c0,14fdcd7c.6ec1.
2aeac780.cd2,259b2597.1c03.
b71fca12.faa,473a872f.40ab.
7dda06a8.3a9,457f6733.4ba7.
cdd1b67b.b67,ac68b575.6b88.
8289e80e.563,1cae5cdf.f3e9.
7dd74a60.670,152d0bd0.140c.
416e99e6.448,3757eca9.d616.
a5056b02.cdd,973e0d0d.e7d4.
03777d01.737,1da57e64.c270.
9479850b.be3,31dcacfe.a8b9.
15b26ec3.ea4,474a622f.756e.
77e9b2ed.377,ffa29d6b.0706.
a0499434.2d8,f0f781c2.da78.
59144363.424,3b99b012.1f9a.
76bfdef3.58b,0d7e4baf.8caf.
13b08111.5d6,474ed2f9.13bf.
fd9ad8b6.f7b,38acd334.3e31.
eb21b94f.872,43b48e75.e423.
71f1acd3.59a,a4a33672.ace6.
8f3b1f5b.ed9,2188849b.caa8.
a09751a3.ea0,da7fbbc9.20f6.
33e8d007.4a0,81c319fb.f8c4.
4c9b14ed.25c,506089a5.39ed.
d4fa49fa.e23,00cca3d3.74df.
85fb460f.7c9,2a0ff3b6.c8fd.
dd2aa747.f4e,cb4b15ce.f57b.
da61dbc9.bb5,397c13c9.4295.
0b458251.259,7fec3a5e.ee77.
7e17e37b.956,f6ce98e1.d168.
e1ee54dd.39b,7f1bdd60.2da5.
92d24aa3.42c,ecaafe81.c4c2.
2f93b8ea.3f4,1bed99d2.7a40.
16f4decb.d67,61472e04.3e21.
39d355f6.a03,87a425a8.808d.
91bb9cb4.557,d340d933.fb18.
fccc6d2f.943,a964dfe3.f296.
1deac784.3be,001ee027.50c8.
0a50be93.4b7,17f99354.e91b.
726d3cd2.9da,b35c05ca.e973.
9da1088e.916,ed272c14.0174.
5ef98636.b5b,16009905.04d8.
6b4e5a0e.65a,82498b56.a558.
b68fb690.f69,e1589864.1564.
a3fd04fb.9bb,336cf3ea.2552.
5745fece.c9f,618c8917.bbb2.
56414d5d.cd8,a9c14502.d42c.
17d621e2.e54,af72465f.1cf0.
92932c76.ae9,f8a63606.2a0d.
763fb075.92a,e09fbea6.5d45.
7ecf2cc5.853,54ba599d.84a4.
838138e2.065,3c366115.2f13.
6282a155.cee,b337ce26.708b.
08e673d1.e98,bc3f9cf3.68be.
5674bc82.82a,df02d7fe.2263.
b66e0e8a.862,2b2d6bec.7e5b.
4d506737.283,9963e34a.3ebb.
73f027eb.c0a,bfbf799f.d5bf.
eccad710.0a6,fffa6286.398e.
40cae841.b9a,484761cc.ed5b.
2a87c71b.4c9,8dcd0943.4470.
81ceb388.5bb,c5419551.2292.
8902fdeb.da9,e1243992.9f0a.
4c72ff16.983,ab6111ef.a5a9.
a3ae5814.983,4aa56cfa.7b95.
fa605739.206,1206d697.3daa.
47bf6090.745,bcfb0e97.5a3c.
b9fc69d7.81b,1e8ead80.2dfd.
6f21019d.0c0,a3d2e0e7.e7fc.
a806459c.50b,b24741e7.5930.
ceac6ef2.7b6,803cb4eb.3ae0.
dfe5bbe4.373,9228549e.5ab5.
cc6cb772.be5,5f770116.3d18.
cdfa7ac2.383,93f78d88.f5e2.
fae7bb8f.861,d46aaa86.021d.
76968faf.46c,86296e59.f36a.
78786baa.630,c6d4a362.6a00.
f4cf50bb.a64,aa655daf.6f53.
86e16216.2ca,a51c4c7d.934b.
5397b7fb.874,0c909dba.f59b.
2a1efb07.193,6a3ad419.2654.
0944a210.5e7,938eeaf1.2573.
2910087d.dad,20dda9c7.316b.
745f7f5b.1eb,94458d32.e0b3.
57d6aa64.99e,247f4e3e.b440.
a8a2bbd2.4c1,5dcdf078.5e42.
7fcac37f.c9a,1f9f14c7.cd98.
2adf0b77.3bb,b8a1769d.d55e.
ac016468.d1c,49a7ccdf.4f0e.
5277c20e.327,ed0efb48.ccdc.
bf35489a.74f,9998cbe6.28e1.
1a2e834c.5db,7b935fee.01f0.
71462541.92e,94e1992d.3131.
1a1ecf92.d67,153cfe7c.46b5.
27acec45.7c9,f1bc7bd9.73cc.
430c6a8f.95c,0049619b.51dc.
b3244a1f.f54,197076f0.2d0b.
46d40bfc.07f,f9f229f3.c958.
ba32bd5e.0de,e77a559c.10f4.
73c2990b.304,84f6c79a.f0d8.
4751d0bd.cbc,d3be046b.c533.
4dd532e4.b92,165af720.4446.
739b6715.891,6d2fcbd6.3efb.
aad54b7c.7c9,e9fb3f23.33d9.
cfcec207.48d,7884bcb4.750d.
0c52fb76.ea9,09bb969f.7515.
d9c91589.e80,89c33112.a7ee.
05a0eff7.0d2,12082abd.bbf0.
36c31c1e.ff3,ca561524.2290.
033e6b80.83d,9d43cd7a.9804.
f7932aaf.f99,0ecd93ab.1dd3.
435c1582.cae,7fbaf352.6f3f.
eb6dd25f.bbb,3095e20a.5462.
4ccba417.7ef,9fadec61.6aa4.
dde3bce7.7e9,efed59b4.ec68.
ca7a530c.1fb,aded81b3.3080.
820ab396.f30,ed56f10d.4308.
7ba0c8d5.9da,02234074.2ff9.
357ce010.de4,932bcef5.4e82.
20dbd564.e3b,d7c64095.7dc9.
ded60b02.031,695482cd.936c.
0d7038a6.48f,07a66b9f.567a.
23a85c93.c88,5de80f18.9e97.
395f973f.ff0,e4ba48de.7d01.
461ce9bf.f1c,309e4ac0.6f62.
888d4dd9.4aa,20e57fdb.3c88.
b9d60779.e1c,07dc05e9.a789.
8509ce88.9c4,b61f2899.d9df.
e6b6db93.2b4,c228af40.dc99.
ba10e6ed.c62,9430dcbf.53ca.
193ab57c.883,fb45c46d.ac52.
ccab4a68.1bb,f48e19f8.dfc5.
a2447345.278,ed7185bd.ca00.
e764fae9.db9,f9c0e4b0.e177.
c266fb01.175,f642fd0e.4fce.
26a9fd1f.5a5,9b249b09.6045.
89611ee3.6de,0104958b.494c.
ac38d85f.b50,70170644.ef74.
c640667d.301,d3a8d33d.0eca.
1cbecd2f.550,71d0a30a.7362.
95a79298.0c1,fbdc0a4b.c4d8.
10a7eac8.aed,e0c6ad7c.ebc1.
ce354e55.58c,453fc7dd.d072.
6b9242dd.3de,ef173eb6.a6a5.
fb4f6fdb.494,69659ce2.4528.
087fec6d.7e7,3a6ab299.d7b8.
5fc2e3b2.d4b,369b34f1.6ea1.
863bbac2.60f,9db48da9.e218.
2e1dc6b6.be2,a5cccdb1.e294.
8d86b78a.cfc,f26be03a.5201.
17ddc2c6.18e,8a91b705.8b75.
c8e2930a.719,2132299f.4c1e.
b7eb48b0.de0,50960922.66bd.
1199477a.996,56964bd2.9520.
c3d5252a.c3e,95737059.b37b.
6832abd4.e7c,d021e84d.ca20.
75a0db40.474,49b73cee.d23e.
5e67dbcf.f96,9d956a25.8543.
abe6004f.40f,f6a1f682.0873.
261d78ba.138,badeb587.109c.
3dd47da1.726,85616e3e.c731.
087f2be3.be5,6a94a6a9.e8b5.
441de12e.96c,d1fc9a47.ffa1.
cf1cf857.bc4,d8f8d394.6c79.
1803497a.88c,ae2951f3.9d72.
b4f748bb.795,84406284.2da0.
d2f5af88.62d,f5e2f8ab.1db2.
7cf4fafc.297,2cabf649.bce4.
19269c62.caa,b8ee812b.6476.
f4835db0.389,05bbf5d8.89be.
110725af.e3e,fce8b58c.a485.
942da5af.081,927f4f69.eb15.
6c8c52d1.810,9bda563b.6543.
182683c5.854,44c7c5a9.b51b.
68fac9a9.bf1,67750580.d285.
45d0a4fd.5eb,62ec0b3c.e705.
4cb3f57d.234,71dc86c6.e73f.
d9709f8f.4fa,5a0d5c29.d6d9.
be4f5129.3ca,fc00c4ca.dae2.
6121d4cb.b8c,a3bf3a69.67e6.
1f39507c.1d7,3d04fd2f.90d5.
6bad324c.d43,bcb8a4ff.0b26.
4c19e169.8a8,db796448.3b63.
17c666ad.c84,b8d54e71.966a.
e2e2d9da.7e0,2795cce8.c907.
a8e8c2c0.22b,3baee697.5b1c.
f45d3691.9e4,9c6a35e1.f201.
d6cad6a5.f9b,ab2c00a5.593a.
d66b14df.33e,8614094f.08e6.
32f60825.2b1,0a691f9c.f63a.
4c237dc3.33a,6747b3aa.6036.
1f77c905.60f,696e8612.9be1.
994d45c0.4be,22d79754.aec6.
82050d0c.948,7d1e9ee9.761f.
a17bead4.2ca,f161db6b.9368.
d6201287.f90,62d1203b.c195.
9ad7de9f.e25,6a46de39.f856.
dac25a0b.83e,7640b8b3.4fd7.
211d2384.b11,3055e160.056c.
c79f5389.2b2,18f531b4.1b1f.
d6c5156c.925,fffd363d.b716.
92152c9c.f9d,71a86937.c410.
178fccdb.4b1,474ce21a.6880.
e6d9f209.67d,e908bfcd.d03c.
64ca0e48.8d9,c7637568.09dc.
5a0dc996.d6c,b0f50188.7478.
d405b499.dde,69d8d67d.ed8a.
60e2d1cf.4d0,00a886c6.68f2.
ec637899.039,c18f2417.11e4.
a14018be.4d3,77253b40.e269.
ce2082eb.ec5,862e7966.bf6c.
aa36904d.ee4,bdf5825b.c32c.
d9c5c94b.f56,0aaad8c9.d0a0.
3705eeaf.7da,44dcf82b.c3ca.
34138ce3.793,903f8835.4f4a.
1120ef2a.e37,5190b23f.cf4f.
4880dd54.de1,f7eea1f3.2147.
a891e9d4.5ef,17e4a6c4.2201.
3a8c3960.514,a49efaf5.7b71.
c24e066e.b76,13a2bcff.aac6.
5a0ad159.5a0,da321945.4f1c.
d32c1f62.399,b00f7091.60cc.
9921246d.616,ac330195.5a1b.
689a1ddb.fc5,e50a041c.96e7.
ca9eb8c6.847,5824dbf4.a49b.
804ab685.85a,f9017613.ffa5.
3d3171f4.1e9,9d9f474c.1ac5.
08b0053a.7a5,a7c26534.74d1.
6d959e67.0b4,c7ec8b1d.a45c.
504b7de2.238,8a4c7302.e527.
59d2471e.1ce,980be1f6.a4a8.
30a0e429.088,bdef69db.1084.
91329810.296,87ffead5.4c01.
5f3bf032.1a2,8dcc6315.e31a.
04cc2264.6b3,6ff931aa.f69e.
06feb8fc.ac7,07cc0897.e6b4.
85213bbc.d87,dd09d914.f808.
dfc48cfb.796,2cfd7b55.fac0.
7b1a5410.008,9b0f8691.ffef.
1a8463bf.b63,84837346.b6cc.
364c0481.602,467b4efd.ee26.
59b6ff13.634,4ee728c6.e99a.
13283163.66a,d2ee94da.0052.
1748a642.e41,8c8dbd8b.05e1.
ab581c03.6e1,0c3a4879.3c29.
17a9a800.28b,1e1e4162.1c31.
f865a7d7.d71,aad247a6.1be2.
9413b85a.27b,3d485595.0e60.
55f564de.4dc,8f9bd4e7.18ff.
106726a1.666,bcfa5758.dfbe.
0e320b7f.c54,189f3419.f13e.
65f77807.398,96f4eb04.c546.
b434efb4.fae,b29d308f.2456.
917ab252.acd,630288fe.e285.
c590ae98.3be,c7adab2b.eb2e.
cf8e19d3.ccb,2c5650a5.6e94.
ac1045a0.d0b,2477eaa3.03ba.
1630f15e.a1c,92aa32f4.495a.
83f31928.eea,b48b991e.6e33.
afa931bc.793,4a351c52.6911.
ef90dcf8.11a,2d93edb0.98d1.
a2dd7d4a.0ed,6c826010.36c3.
4b9095ce.83d,589f21e5.cb9b.
57156a14.fe9,f0e37280.28eb.
988f20dc.acd,84d3e02d.2059.
859b7572.dd7,1ea0436b.a2d5.
2112a29c.819,bdb4632f.582e.
65c4ae40.7a9,a42e92df.9cf5.
4649c928.42c,3c0c9bf3.58a9.
9b6037bb.2ca,8b2158e5.1fd9.
6b673419.019,cf979ea4.31f4.
fe8d325f.d6b,d6a0adf9.549b.
3b2549d1.da0,0ee66d95.c8f8.
3f410966.5f9,5f5652d0.aeb4.
d6aa78a2.618,fda183d3.3214.
e78a82f3.214,503b52b8.e60b.
ad5585d8.bc2,88ab50a6.0555.
9759bcda.172,b0026150.dca6.
026560ba.585,878b05d7.a3ef.
75173aad.4ef,957a4769.9ec1.
61fdefed.ef7,a1d08548.9a3f.
77b0476f.3dc,ba5083e4.64e7.
21a5a4b5.c1e,74fa61e5.784d.
751ab6ab.098,c9a37a72.a6fd.
aa2edbff.4a9,4eccb247.c822.
3b216998.12e,293d616b.8048.
b1d7ca9c.125,41c62ead.e6ed.
7b4f361a.d33,241dc4ce.57ac.
cf849ed9.84d,af9854d3.bc90.
35b4c340.b89,d6fbbef9.d601.
f5f9e5d4.146,607cbe54.ece4.
56b8c28e.790,d8ba69ac.ec99.
00890624.686,8b9c33e8.c0d7.
c3ad47fb.a6e,8f326978.1316.
abf47fcd.3d3,41228ead.0d58.
29cada15.ac8,fa8f4329.5368.
82edbe0e.484,2589aef7.693c.
f21fc91d.650,63f74330.2a76.
663c1566.edc,1f394261.0287.
57f181c2.f07,08af0c80.2efa.
6a89790f.068,fcf86574.954c.
a839bc61.6e4,0f61f59a.39d2.
dbd8cb30.d19,08ec13ca.af16.
9e62cf08.5f6,18afac17.270a.
9aa0c65d.63b,6251dfd3.b9a4.
9f89117b.9d3,8f278075.846d.
bdba3b81.405,b87ca75e.5021.
75bb471b.3ff,1b205916.ab0e.
182aa9f8.4b3,d30d5285.5649.
6b2d3618.bb0,2ba90098.115e.
27c83c8b.225,15884d9d.3e62.
ba34dd5b.fb0,8c711a63.eb95.
111304a3.c28,e47536b8.aec9.
4426c414.40a,e12801c4.8cc4.
2ae9e6d9.a78,a815b6e0.7a07.
cf85bb38.9f8,816879c5.3d3e.
37d20479.959,bb3caefa.51c6.
7061c2f4.c8a,bd67d543.4328.
f28b8be7.89d,2dfda371.bcaf.
95f49822.82b,1192b7a2.8cfa.
8938b0d9.49e,2270dcd9.31f2.
05968b0b.62a,7b1e74de.bd5f.
892dd10f.587,db03b7ef.5f1b.
9aee215c.930,93822814.9ff4.
316a19a0.7e2,6331fc13.265d.
37b0d9eb.345,4a5c90e2.7ca9.
c52d81b4.436,7eb87acc.36a0.
6d7301fe.e18,731c7b9e.07cc.
8630cd87.367,a76a19e3.44f8.
453c3df4.1e0,6dad51f3.451e.
0ab65f46.c70,b1ec70b5.37ed.
4d8d5a90.928,69b721df.43cf.
440ad5fb.d4a,a91be85c.f49d.
7ef0f6ad.41e,9713b624.b6e0.
cd00678d.bb0,35abff6c.501e.
add7f9aa.5d1,81a713c6.9a30.
40803c24.608,aa66dc39.6fbf.
69ab423b.d5a,fb9011f5.d30d.
cadfe1df.b6a,081ca2af.9aad.
5b3d457b.3e0,40d89484.c5a9.
6df3a232.b0f,bf343635.bad3.
ce830140.987,6d0002c8.248f.
83430360.c2b,e6c4749a.dbb8.
50973c12.559,aa5733ef.932e.
0caca114.b2e,49e81195.9ec2.
6315fcee.665,b423fbbe.e1fb.
e5026d48.ade,96f04dbc.da7f.
f734a49e.707,e460dbcd.cade.
edf318a9.e77,7852daae.56a2.
464dd452.dc8,46c36222.1633.
e0892f23.544,8211fcf5.6840.
044c982e.d92,8af309d6.0999.
0ca80e94.d9d,2c78e17d.b7d1.
183ddc72.e65,89270250.3950.
e140afa5.116,009966ec.d335.
f7816c7f.0ad,031d5672.c9f6.
a4f275ef.a9d,59b10ece.4a65.
c6c68cc7.e47,684c4240.f2da.
fafe649a.597,817c3599.5c0a.
f9f61256.64b,62a603cb.bb06.
ab842ad6.01c,5d402234.7d04.
2f8a47f0.196,1e4dd202.3ab4.
bcd64405.22c,984f80c7.034d.
380ec4d8.ba6,832cabd8.7e07.
0b2964b5.d26,44cc3f38.c9b4.
3d8d1cc9.b4e,277e7614.afeb.
7cd64a38.dd8,fb08c403.90fd.
526bf453.5af,4a536630.581f.
292fc348.dd7,b95f30ea.9ede.
312da310.ccc,0dfa96bb.c63e.
74f49ea4.2b2,6eb5d234.1db4.
d88e1f10.1b7,9790c1b6.d03d.
9c8f2c22.8ee,1db3fdc0.64d8.
a6eed228.38d,aba74f8d.29c9.
a49c8404.aaf,7bed786d.3a79.
ef8fded1.0d6,8ffded7b.dad8.
49569e4b.90c,f350bcce.ca52.
6e7ab57b.db9,ad97c4e8.c791.
c4d0eedf.087,553e33fb.3e4b.
ffe24755.5bc,97264eda.8024.
fc3b5472.619,15167ed5.6ab0.
d7ee5c8a.2c3,d286a161.6a44.
7a3c65cd.a55,4c918fef.c10d.
fcd6804a.328,46217fc0.458d.
1bccef26.e39,76915432.a630.
6dbc6b63.f4b,5c9a413e.4a06.
a3202122.fae,9fc6ea64.6ac7.
dd715021.1bb,ec3b6964.a08b.
9578d303.35d,87c15ffe.6f5f.
d92ffb7e.d80,ff84b743.6c4f.
bfac4cab.31c,cb56aed5.8c29.
1bd5d5d0.125,5ddf58ad.1226.
45896ebe.338,8a6ebecf.dbb8.
51f72cf4.163,ffb485c4.8de7.
611148b2.8c2,0a40f9eb.b4c4.
e1c09dd5.c89,aef3c600.ccf5.
9d27ac58.be5,f9680d59.4a1c.
dcc2497b.682,0f58682c.0aac.
845b9d36.dda,bf98d1e9.fa04.
52db16bd.0cd,40bd236d.afa7.
b23b55dd.b39,18a6a90f.f08d.
deabecd8.e8b,b6b12901.49e0.
c06eed47.ce9,49a8a0fc.f16b.
e916b3ff.c2f,de150cb5.39b2.
3db2b443.74e,34759cfa.77ee.
1cc916f9.86d,ee2e63d4.5657.
0d01620a.e61,a3ef259c.0fd4.
2e1e7b1f.97e,78ab6847.f82d.
6f9f0841.470,40e21d19.0c36.
36ea42e3.440,2994776e.2443.
bc52cdee.ad4,bfe6faac.f46c.
816b0f5c.00b,1d49c596.6cd7.
886f30b6.9dc,a9a4ec7d.fb0e.
36a2308e.5ec,785e56f1.0b69.
24bb7e3b.4f0,c127f8ea.9bb1.
6b29c62c.9b1,5cfca1fa.a038.
0bf334cd.b14,a004684a.1f8f.
711db75b.e9e,b4bf86d4.914e.
20169042.c75,b575b4ec.d104.
c928d437.a0f,5983193c.2c22.
cb4d3135.108,8466a8b2.7c44.
bf58795b.35a,ebcbea4a.2889.
196598d9.9c1,e3acc7b6.875b.
5ec93421.e43,5986a549.46da.
fe094cbe.33d,83537186.d0ac.
1770412a.125,1568261d.2231.
4219f05a.0c7,79051822.0170.
786f5425.f5a,fa92ff55.397b.
21e33450.1a7,1c9bd398.e15d.
0a89910f.7d4,fdd8cafb.9129.
